Iteration,Roma,Vine Ripes
1,0.737107589,0.856640238
2,0.934780149,1.066970668
3,0.882358365,0.99644258
4,0.831664873,0.961524193
5,0.77108573,0.937765543
6,0.881336038,0.990726789
7,1.032963124,1.044427912
8,1.035081208,1.101336095
9,0.892584614,1.156786293
10,0.83510537,1.154245019
11,0.872021499,1.110481451
12,0.941940503,1.200313502
13,1.020801112,1.372498688
14,0.908942946,1.041057828
15,0.868640046,0.963040642
16,0.790436157,0.933739351
17,0.76218384,0.902189179
18,0.898621285,0.942109258
19,1.044185337,1.024486222
20,1.000727374,1.060179416
21,0.881829636,1.103423679
22,0.8187183,1.122263876
23,0.863103569,1.082994538
24,0.973502512,1.194608706
25,1.080223094,1.352557532
26,0.935605177,1.03341089
27,0.887639265,0.966842622
28,0.800178637,0.967912196
29,0.76755643,0.94497263
30,0.864497566,0.964792636
31,1.011351181,1.026864575
32,1.003947042,1.076270718
33,0.881637315,1.111509085
34,0.827697355,1.138364031
35,0.866475728,1.067111331
36,0.9264486,1.185403753
37,1.035843186,1.395689466
38,0.911026841,1.048216051
39,0.901592427,0.991602422
40,0.823513211,0.970141251
41,0.758437512,0.947077043
42,0.855965372,0.97122327
43,1.006661677,1.029860276
44,0.994789151,1.074010458
45,0.857936063,1.166723253
46,0.797190801,1.168970698
47,0.853551891,1.111945071
48,0.904461002,1.243433933
49,1.019640575,1.407796558
50,0.897597967,1.053971311
51,0.871098332,0.991851444
52,0.804352189,0.922888485
53,0.757670217,0.872513564
54,0.878995725,0.927158218
55,1.025075742,1.012379683
56,1.012618618,1.080317757
57,0.879336262,1.157435108
58,0.803736552,1.129861482
59,0.826301182,1.097908577
60,0.896508421,1.219607505
61,1.025183828,1.382364741
