year_month,variety,price_per_lb
2024-01,ROUND RED,0.8207831061575038
2024-01,ROUND WHITE,0.6120187473474966
2024-01,RUSSET,0.692700248122501
2024-02,ROUND RED,0.8104910963075024
2024-02,ROUND WHITE,0.5974616638799971
2024-02,RUSSET,0.6879770899275022
2024-03,ROUND RED,0.7839979067300061
2024-03,ROUND WHITE,0.6576081037575007
2024-03,RUSSET,0.681867210505001
2024-04,ROUND RED,0.7548467234100036
2024-04,ROUND WHITE,0.7581899343275024
2024-04,RUSSET,0.7031591052749998
2024-05,ROUND RED,0.7596769846124993
2024-05,ROUND WHITE,0.84111211462
2024-05,RUSSET,0.7323782891100034
2024-06,ROUND RED,0.8103039454875013
2024-06,ROUND WHITE,0.8652210216799989
2024-06,RUSSET,0.7250481647700008
2024-07,ROUND RED,0.8915690796075063
2024-07,ROUND WHITE,0.8581277537824987
2024-07,RUSSET,0.7177081491799993
2024-08,ROUND RED,0.8397582248350068
2024-08,ROUND WHITE,0.7303428644724973
2024-08,RUSSET,0.6895520824749992
2024-09,ROUND RED,0.7749768834650028
2024-09,ROUND WHITE,0.3505966584799994
2024-09,RUSSET,0.5665819258525002
2024-10,ROUND RED,0.7591677662599997
2024-10,ROUND WHITE,0.30702990404250124
2024-10,RUSSET,0.4979455678150021
2024-11,ROUND RED,0.7674144788349957
2024-11,ROUND WHITE,0.31705342254750013
2024-11,RUSSET,0.4672506412599984
2024-12,ROUND RED,0.7331264264050007
2024-12,ROUND WHITE,0.37372692112250017
2024-12,RUSSET,0.4192894515149995
2025-01,ROUND RED,0.8207831061575038
2025-01,ROUND WHITE,0.6120187473474966
2025-01,RUSSET,0.692700248122501
2025-02,ROUND RED,0.8104910963075024
2025-02,ROUND WHITE,0.5974616638799971
2025-02,RUSSET,0.6879770899275022
2025-03,ROUND RED,0.7839979067300061
2025-03,ROUND WHITE,0.6576081037575007
2025-03,RUSSET,0.681867210505001
2025-04,ROUND RED,0.7548467234100036
2025-04,ROUND WHITE,0.7581899343275024
2025-04,RUSSET,0.7031591052749998
2025-05,ROUND RED,0.7596769846124993
2025-05,ROUND WHITE,0.84111211462
2025-05,RUSSET,0.7323782891100034
2025-06,ROUND RED,0.8103039454875013
2025-06,ROUND WHITE,0.8652210216799989
2025-06,RUSSET,0.7250481647700008
2025-07,ROUND RED,0.8915690796075063
2025-07,ROUND WHITE,0.8581277537824987
2025-07,RUSSET,0.7177081491799993
2025-08,ROUND RED,0.8397582248350068
2025-08,ROUND WHITE,0.7303428644724973
2025-08,RUSSET,0.6895520824749992
2025-09,ROUND RED,0.7749768834650028
2025-09,ROUND WHITE,0.3505966584799994
2025-09,RUSSET,0.5665819258525002
2025-10,ROUND RED,0.7591677662599997
2025-10,ROUND WHITE,0.30702990404250124
2025-10,RUSSET,0.4979455678150021
2025-11,ROUND RED,0.7674144788349957
2025-11,ROUND WHITE,0.31705342254750013
2025-11,RUSSET,0.4672506412599984
2025-12,ROUND RED,0.7331264264050007
2025-12,ROUND WHITE,0.37372692112250017
2025-12,RUSSET,0.4192894515149995
2026-01,ROUND RED,0.8207831061575038
2026-01,ROUND WHITE,0.6120187473474966
2026-01,RUSSET,0.692700248122501
2026-02,ROUND RED,0.8104910963075024
2026-02,ROUND WHITE,0.5974616638799971
2026-02,RUSSET,0.6879770899275022
2026-03,ROUND RED,0.7839979067300061
2026-03,ROUND WHITE,0.6576081037575007
2026-03,RUSSET,0.681867210505001
2026-04,ROUND RED,0.7548467234100036
2026-04,ROUND WHITE,0.7581899343275024
2026-04,RUSSET,0.7031591052749998
2026-05,ROUND RED,0.7596769846124993
2026-05,ROUND WHITE,0.84111211462
2026-05,RUSSET,0.7323782891100034
2026-06,ROUND RED,0.8103039454875013
2026-06,ROUND WHITE,0.8652210216799989
2026-06,RUSSET,0.7250481647700008
2026-07,ROUND RED,0.8915690796075063
2026-07,ROUND WHITE,0.8581277537824987
2026-07,RUSSET,0.7177081491799993
2026-08,ROUND RED,0.8397582248350068
2026-08,ROUND WHITE,0.7303428644724973
2026-08,RUSSET,0.6895520824749992
2026-09,ROUND RED,0.7749768834650028
2026-09,ROUND WHITE,0.3505966584799994
2026-09,RUSSET,0.5665819258525002
2026-10,ROUND RED,0.7591677662599997
2026-10,ROUND WHITE,0.30702990404250124
2026-10,RUSSET,0.4979455678150021
2026-11,ROUND RED,0.7674144788349957
2026-11,ROUND WHITE,0.31705342254750013
2026-11,RUSSET,0.4672506412599984
2026-12,ROUND RED,0.7331264264050007
2026-12,ROUND WHITE,0.37372692112250017
2026-12,RUSSET,0.4192894515149995
2027-01,ROUND RED,0.8207831061575038
2027-01,ROUND WHITE,0.6120187473474966
2027-01,RUSSET,0.692700248122501
2027-02,ROUND RED,0.8104910963075024
2027-02,ROUND WHITE,0.5974616638799971
2027-02,RUSSET,0.6879770899275022
2027-03,ROUND RED,0.7839979067300061
2027-03,ROUND WHITE,0.6576081037575007
2027-03,RUSSET,0.681867210505001
2027-04,ROUND RED,0.7548467234100036
2027-04,ROUND WHITE,0.7581899343275024
2027-04,RUSSET,0.7031591052749998
2027-05,ROUND RED,0.7596769846124993
2027-05,ROUND WHITE,0.84111211462
2027-05,RUSSET,0.7323782891100034
2027-06,ROUND RED,0.8103039454875013
2027-06,ROUND WHITE,0.8652210216799989
2027-06,RUSSET,0.7250481647700008
2027-07,ROUND RED,0.8915690796075063
2027-07,ROUND WHITE,0.8581277537824987
2027-07,RUSSET,0.7177081491799993
2027-08,ROUND RED,0.8397582248350068
2027-08,ROUND WHITE,0.7303428644724973
2027-08,RUSSET,0.6895520824749992
2027-09,ROUND RED,0.7749768834650028
2027-09,ROUND WHITE,0.3505966584799994
2027-09,RUSSET,0.5665819258525002
2027-10,ROUND RED,0.7591677662599997
2027-10,ROUND WHITE,0.30702990404250124
2027-10,RUSSET,0.4979455678150021
2027-11,ROUND RED,0.7674144788349957
2027-11,ROUND WHITE,0.31705342254750013
2027-11,RUSSET,0.4672506412599984
2027-12,ROUND RED,0.7331264264050007
2027-12,ROUND WHITE,0.37372692112250017
2027-12,RUSSET,0.4192894515149995
2028-01,ROUND RED,0.8207831061575038
2028-01,ROUND WHITE,0.6120187473474966
2028-01,RUSSET,0.692700248122501
2028-02,ROUND RED,0.8104910963075024
2028-02,ROUND WHITE,0.5974616638799971
2028-02,RUSSET,0.6879770899275022
2028-03,ROUND RED,0.7839979067300061
2028-03,ROUND WHITE,0.6576081037575007
2028-03,RUSSET,0.681867210505001
2028-04,ROUND RED,0.7548467234100036
2028-04,ROUND WHITE,0.7581899343275024
2028-04,RUSSET,0.7031591052749998
2028-05,ROUND RED,0.7596769846124993
2028-05,ROUND WHITE,0.84111211462
2028-05,RUSSET,0.7323782891100034
2028-06,ROUND RED,0.8103039454875013
2028-06,ROUND WHITE,0.8652210216799989
2028-06,RUSSET,0.7250481647700008
2028-07,ROUND RED,0.8915690796075063
2028-07,ROUND WHITE,0.8581277537824987
2028-07,RUSSET,0.7177081491799993
2028-08,ROUND RED,0.8397582248350068
2028-08,ROUND WHITE,0.7303428644724973
2028-08,RUSSET,0.6895520824749992
2028-09,ROUND RED,0.7749768834650028
2028-09,ROUND WHITE,0.3505966584799994
2028-09,RUSSET,0.5665819258525002
2028-10,ROUND RED,0.7591677662599997
2028-10,ROUND WHITE,0.30702990404250124
2028-10,RUSSET,0.4979455678150021
2028-11,ROUND RED,0.7674144788349957
2028-11,ROUND WHITE,0.31705342254750013
2028-11,RUSSET,0.4672506412599984
2028-12,ROUND RED,0.7331264264050007
2028-12,ROUND WHITE,0.37372692112250017
2028-12,RUSSET,0.4192894515149995
