year_month,variety,price_per_lb
2024-01,BULLS,0.8018013375000025
2024-01,HEIFERS,1.4188488023809618
2024-01,STEERS,1.4783602812499916
2024-02,BULLS,0.8612472375000056
2024-02,HEIFERS,1.4498364569264124
2024-02,STEERS,1.4556060312499954
2024-03,BULLS,0.9765644125000058
2024-03,HEIFERS,1.4622855129870154
2024-03,STEERS,1.5213416279761935
2024-04,BULLS,1.0337322053571483
2024-04,HEIFERS,1.5731801050366323
2024-04,STEERS,1.6119784952380878
2024-05,BULLS,1.041731749999996
2024-05,HEIFERS,1.6232379315933998
2024-05,STEERS,1.638714232142852
2024-06,BULLS,1.09860465178571
2024-06,HEIFERS,1.6770248300366213
2024-06,STEERS,1.6893195502976164
2024-07,BULLS,1.1563429712301616
2024-07,HEIFERS,1.6531568311085976
2024-07,STEERS,1.652367136309525
2024-08,BULLS,1.198190602182535
2024-08,HEIFERS,1.624111491402718
2024-08,STEERS,1.6184656869047571
2024-09,BULLS,1.1580133184523829
2024-09,HEIFERS,1.6228234067119107
2024-09,STEERS,1.6389161577380884
2024-10,BULLS,1.0796718789682502
2024-10,HEIFERS,1.6495242816993396
2024-10,STEERS,1.5959497815476091
2024-11,BULLS,1.0752141765873031
2024-11,HEIFERS,1.6438578010558111
2024-11,STEERS,1.6451823184523768
2024-12,BULLS,1.076393426587297
2024-12,HEIFERS,1.498149551055815
2024-12,STEERS,1.547204143452383
2025-01,BULLS,0.8018013375000025
2025-01,HEIFERS,1.4188488023809618
2025-01,STEERS,1.4783602812499916
2025-02,BULLS,0.8612472375000056
2025-02,HEIFERS,1.4498364569264124
2025-02,STEERS,1.4556060312499954
2025-03,BULLS,0.9765644125000058
2025-03,HEIFERS,1.4622855129870154
2025-03,STEERS,1.5213416279761935
2025-04,BULLS,1.0337322053571483
2025-04,HEIFERS,1.5731801050366323
2025-04,STEERS,1.6119784952380878
2025-05,BULLS,1.041731749999996
2025-05,HEIFERS,1.6232379315933998
2025-05,STEERS,1.638714232142852
2025-06,BULLS,1.09860465178571
2025-06,HEIFERS,1.6770248300366213
2025-06,STEERS,1.6893195502976164
2025-07,BULLS,1.1563429712301616
2025-07,HEIFERS,1.6531568311085976
2025-07,STEERS,1.652367136309525
2025-08,BULLS,1.198190602182535
2025-08,HEIFERS,1.624111491402718
2025-08,STEERS,1.6184656869047571
2025-09,BULLS,1.1580133184523829
2025-09,HEIFERS,1.6228234067119107
2025-09,STEERS,1.6389161577380884
2025-10,BULLS,1.0796718789682502
2025-10,HEIFERS,1.6495242816993396
2025-10,STEERS,1.5959497815476091
2025-11,BULLS,1.0752141765873031
2025-11,HEIFERS,1.6438578010558111
2025-11,STEERS,1.6451823184523768
2025-12,BULLS,1.076393426587297
2025-12,HEIFERS,1.498149551055815
2025-12,STEERS,1.547204143452383
2026-01,BULLS,0.8018013375000025
2026-01,HEIFERS,1.4188488023809618
2026-01,STEERS,1.4783602812499916
2026-02,BULLS,0.8612472375000056
2026-02,HEIFERS,1.4498364569264124
2026-02,STEERS,1.4556060312499954
2026-03,BULLS,0.9765644125000058
2026-03,HEIFERS,1.4622855129870154
2026-03,STEERS,1.5213416279761935
2026-04,BULLS,1.0337322053571483
2026-04,HEIFERS,1.5731801050366323
2026-04,STEERS,1.6119784952380878
2026-05,BULLS,1.041731749999996
2026-05,HEIFERS,1.6232379315933998
2026-05,STEERS,1.638714232142852
2026-06,BULLS,1.09860465178571
2026-06,HEIFERS,1.6770248300366213
2026-06,STEERS,1.6893195502976164
2026-07,BULLS,1.1563429712301616
2026-07,HEIFERS,1.6531568311085976
2026-07,STEERS,1.652367136309525
2026-08,BULLS,1.198190602182535
2026-08,HEIFERS,1.624111491402718
2026-08,STEERS,1.6184656869047571
2026-09,BULLS,1.1580133184523829
2026-09,HEIFERS,1.6228234067119107
2026-09,STEERS,1.6389161577380884
2026-10,BULLS,1.0796718789682502
2026-10,HEIFERS,1.6495242816993396
2026-10,STEERS,1.5959497815476091
2026-11,BULLS,1.0752141765873031
2026-11,HEIFERS,1.6438578010558111
2026-11,STEERS,1.6451823184523768
2026-12,BULLS,1.076393426587297
2026-12,HEIFERS,1.498149551055815
2026-12,STEERS,1.547204143452383
2027-01,BULLS,0.8018013375000025
2027-01,HEIFERS,1.4188488023809618
2027-01,STEERS,1.4783602812499916
2027-02,BULLS,0.8612472375000056
2027-02,HEIFERS,1.4498364569264124
2027-02,STEERS,1.4556060312499954
2027-03,BULLS,0.9765644125000058
2027-03,HEIFERS,1.4622855129870154
2027-03,STEERS,1.5213416279761935
2027-04,BULLS,1.0337322053571483
2027-04,HEIFERS,1.5731801050366323
2027-04,STEERS,1.6119784952380878
2027-05,BULLS,1.041731749999996
2027-05,HEIFERS,1.6232379315933998
2027-05,STEERS,1.638714232142852
2027-06,BULLS,1.09860465178571
2027-06,HEIFERS,1.6770248300366213
2027-06,STEERS,1.6893195502976164
2027-07,BULLS,1.1563429712301616
2027-07,HEIFERS,1.6531568311085976
2027-07,STEERS,1.652367136309525
2027-08,BULLS,1.198190602182535
2027-08,HEIFERS,1.624111491402718
2027-08,STEERS,1.6184656869047571
2027-09,BULLS,1.1580133184523829
2027-09,HEIFERS,1.6228234067119107
2027-09,STEERS,1.6389161577380884
2027-10,BULLS,1.0796718789682502
2027-10,HEIFERS,1.6495242816993396
2027-10,STEERS,1.5959497815476091
2027-11,BULLS,1.0752141765873031
2027-11,HEIFERS,1.6438578010558111
2027-11,STEERS,1.6451823184523768
2027-12,BULLS,1.076393426587297
2027-12,HEIFERS,1.498149551055815
2027-12,STEERS,1.547204143452383
2028-01,BULLS,0.8018013375000025
2028-01,HEIFERS,1.4188488023809618
2028-01,STEERS,1.4783602812499916
2028-02,BULLS,0.8612472375000056
2028-02,HEIFERS,1.4498364569264124
2028-02,STEERS,1.4556060312499954
2028-03,BULLS,0.9765644125000058
2028-03,HEIFERS,1.4622855129870154
2028-03,STEERS,1.5213416279761935
2028-04,BULLS,1.0337322053571483
2028-04,HEIFERS,1.5731801050366323
2028-04,STEERS,1.6119784952380878
2028-05,BULLS,1.041731749999996
2028-05,HEIFERS,1.6232379315933998
2028-05,STEERS,1.638714232142852
2028-06,BULLS,1.09860465178571
2028-06,HEIFERS,1.6770248300366213
2028-06,STEERS,1.6893195502976164
