year_month,variety,price_per_lb
2024-01,CONDENSED SKIM,1.359853749999994
2024-01,CREAM,2.8414805499999947
2024-02,CONDENSED SKIM,1.3505387500000012
2024-02,CREAM,2.917529931250013
2024-03,CONDENSED SKIM,1.254627499999992
2024-03,CREAM,2.9806221000000055
2024-04,CONDENSED SKIM,1.2205387499999887
2024-04,CREAM,2.978222059375005
2024-05,CONDENSED SKIM,1.2081774999999957
2024-05,CREAM,3.0581860343750007
2024-06,CONDENSED SKIM,1.105243749999995
2024-06,CREAM,3.135186415624999
2024-07,CONDENSED SKIM,1.0226981249999945
2024-07,CREAM,3.4373543500000174
2024-08,CONDENSED SKIM,0.9586524999999932
2024-08,CREAM,3.7412678687500245
2024-09,CONDENSED SKIM,0.941944374999997
2024-09,CREAM,3.893560071875017
2024-10,CONDENSED SKIM,1.023858124999995
2024-10,CREAM,4.244146159374983
2024-11,CONDENSED SKIM,0.9660556249999924
2024-11,CREAM,3.6146366781250006
2024-12,CONDENSED SKIM,0.9918268749999928
2024-12,CREAM,3.1958365968750018
2025-01,CONDENSED SKIM,1.359853749999994
2025-01,CREAM,2.8414805499999947
2025-02,CONDENSED SKIM,1.3505387500000012
2025-02,CREAM,2.917529931250013
2025-03,CONDENSED SKIM,1.254627499999992
2025-03,CREAM,2.9806221000000055
2025-04,CONDENSED SKIM,1.2205387499999887
2025-04,CREAM,2.978222059375005
2025-05,CONDENSED SKIM,1.2081774999999957
2025-05,CREAM,3.0581860343750007
2025-06,CONDENSED SKIM,1.105243749999995
2025-06,CREAM,3.135186415624999
2025-07,CONDENSED SKIM,1.0226981249999945
2025-07,CREAM,3.4373543500000174
2025-08,CONDENSED SKIM,0.9586524999999932
2025-08,CREAM,3.7412678687500245
2025-09,CONDENSED SKIM,0.941944374999997
2025-09,CREAM,3.893560071875017
2025-10,CONDENSED SKIM,1.023858124999995
2025-10,CREAM,4.244146159374983
2025-11,CONDENSED SKIM,0.9660556249999924
2025-11,CREAM,3.6146366781250006
2025-12,CONDENSED SKIM,0.9918268749999928
2025-12,CREAM,3.1958365968750018
2026-01,CONDENSED SKIM,1.359853749999994
2026-01,CREAM,2.8414805499999947
2026-02,CONDENSED SKIM,1.3505387500000012
2026-02,CREAM,2.917529931250013
2026-03,CONDENSED SKIM,1.254627499999992
2026-03,CREAM,2.9806221000000055
2026-04,CONDENSED SKIM,1.2205387499999887
2026-04,CREAM,2.978222059375005
2026-05,CONDENSED SKIM,1.2081774999999957
2026-05,CREAM,3.0581860343750007
2026-06,CONDENSED SKIM,1.105243749999995
2026-06,CREAM,3.135186415624999
2026-07,CONDENSED SKIM,1.0226981249999945
2026-07,CREAM,3.4373543500000174
2026-08,CONDENSED SKIM,0.9586524999999932
2026-08,CREAM,3.7412678687500245
2026-09,CONDENSED SKIM,0.941944374999997
2026-09,CREAM,3.893560071875017
2026-10,CONDENSED SKIM,1.023858124999995
2026-10,CREAM,4.244146159374983
2026-11,CONDENSED SKIM,0.9660556249999924
2026-11,CREAM,3.6146366781250006
2026-12,CONDENSED SKIM,0.9918268749999928
2026-12,CREAM,3.1958365968750018
2027-01,CONDENSED SKIM,1.359853749999994
2027-01,CREAM,2.8414805499999947
2027-02,CONDENSED SKIM,1.3505387500000012
2027-02,CREAM,2.917529931250013
2027-03,CONDENSED SKIM,1.254627499999992
2027-03,CREAM,2.9806221000000055
2027-04,CONDENSED SKIM,1.2205387499999887
2027-04,CREAM,2.978222059375005
2027-05,CONDENSED SKIM,1.2081774999999957
2027-05,CREAM,3.0581860343750007
2027-06,CONDENSED SKIM,1.105243749999995
2027-06,CREAM,3.135186415624999
2027-07,CONDENSED SKIM,1.0226981249999945
2027-07,CREAM,3.4373543500000174
2027-08,CONDENSED SKIM,0.9586524999999932
2027-08,CREAM,3.7412678687500245
2027-09,CONDENSED SKIM,0.941944374999997
2027-09,CREAM,3.893560071875017
2027-10,CONDENSED SKIM,1.023858124999995
2027-10,CREAM,4.244146159374983
2027-11,CONDENSED SKIM,0.9660556249999924
2027-11,CREAM,3.6146366781250006
2027-12,CONDENSED SKIM,0.9918268749999928
2027-12,CREAM,3.1958365968750018
2028-01,CONDENSED SKIM,1.359853749999994
2028-01,CREAM,2.8414805499999947
2028-02,CONDENSED SKIM,1.3505387500000012
2028-02,CREAM,2.917529931250013
2028-03,CONDENSED SKIM,1.254627499999992
2028-03,CREAM,2.9806221000000055
2028-04,CONDENSED SKIM,1.2205387499999887
2028-04,CREAM,2.978222059375005
2028-05,CONDENSED SKIM,1.2081774999999957
2028-05,CREAM,3.0581860343750007
2028-06,CONDENSED SKIM,1.105243749999995
2028-06,CREAM,3.135186415624999
2028-07,CONDENSED SKIM,1.0226981249999945
2028-07,CREAM,3.4373543500000174
2028-08,CONDENSED SKIM,0.9586524999999932
2028-08,CREAM,3.7412678687500245
2028-09,CONDENSED SKIM,0.941944374999997
2028-09,CREAM,3.893560071875017
2028-10,CONDENSED SKIM,1.023858124999995
2028-10,CREAM,4.244146159374983
2028-11,CONDENSED SKIM,0.9660556249999924
2028-11,CREAM,3.6146366781250006
2028-12,CONDENSED SKIM,0.9918268749999928
2028-12,CREAM,3.1958365968750018
