iteration,price,units_sold_day,revenue_day,units_sold_cum,revenue_cum
1,0.8149249066030035,28190,22972.73311713867,28190,22972.73311713867
2,0.8189429843050565,26540,21734.7468034562,54730,44707.479920594866
3,0.8130142984612808,28840,23447.332367623338,83570,68154.8122882182
4,0.813013680992009,27690,22512.348826668727,111260,90667.16111488693
5,0.8119877314445799,27700,22492.060161014862,138960,113159.22127590179
6,0.8120012866482745,27690,22484.31562729072,166650,135643.53690319252
7,0.8119344624379534,27690,22482.46526490693,194340,158126.00216809945
8,0.8121228562879578,27690,22487.681890613552,222030,180613.684058713
9,0.8129132104630158,27700,22517.69592982554,249730,203131.37998853854
10,0.8139616434867907,27690,22538.597908149233,277420,225669.97789668778
11,0.8206393872889836,27690,22723.504634031953,305110,248393.48253071972
12,0.8480644520210677,27690,23482.904676463364,332800,271876.38720718306
13,0.8482162402497235,27690,23487.107692514845,360490,295363.4948996979
14,0.852699312897188,27700,23619.77096725211,388190,318983.26586695
15,0.8526637421184395,27690,23610.259019259593,415880,342593.5248862096
16,0.8635858698686604,27690,23912.692736663204,443570,366506.2176228728
17,0.864176293488095,27690,23929.04156668535,471260,390435.25918955816
18,0.8642078216590189,27700,23938.556659954822,498960,414373.815849513
19,0.863033271763748,0,0.0,498960,414373.815849513
20,0.8630533038622524,0,0.0,498960,414373.815849513
21,0.862957647078312,0,0.0,498960,414373.815849513
22,0.8603653304408011,0,0.0,498960,414373.815849513
23,0.860364840367212,0,0.0,498960,414373.815849513
24,0.865975995219679,0,0.0,498960,414373.815849513
25,0.8665179915333021,0,0.0,498960,414373.815849513
26,0.8702983782108338,0,0.0,498960,414373.815849513
27,0.8706882148181604,0,0.0,498960,414373.815849513
28,0.8709992947716317,0,0.0,498960,414373.815849513
29,0.8686187975723149,0,0.0,498960,414373.815849513
30,0.868715524980239,0,0.0,498960,414373.815849513
31,0.8437406656528655,0,0.0,498960,414373.815849513
32,0.8437846168054135,0,0.0,498960,414373.815849513
33,0.8435144654253808,130810,110340.12722229406,629770,524713.943071807
34,0.8434397051891572,42390,35753.40910296838,672160,560467.3521747754
35,0.8660612344209397,191250,165634.21108300472,863410,726101.5632577802
36,0.8684199627575774,0,0.0,863410,726101.5632577802
37,0.8686449026541422,161700,140459.8807591748,1025110,866561.444016955
38,0.8686209995139126,0,0.0,1025110,866561.444016955
39,0.868527959874724,0,0.0,1025110,866561.444016955
40,0.8614362386189652,83080,71568.12270446363,1108190,938129.5667214186
41,0.8612053982259178,0,0.0,1108190,938129.5667214186
42,0.8551643592735795,34470,29477.515464160286,1142660,967607.0821855789
43,0.8536446611976422,0,0.0,1142660,967607.0821855789
44,0.8534919719791378,76300,65121.437462008216,1218960,1032728.5196475871
45,0.8504169533116347,0,0.0,1218960,1032728.5196475871
46,0.850459260126116,43820,37267.1247787264,1262780,1069995.6444263135
47,0.8503908674256317,0,0.0,1262780,1069995.6444263135
48,0.8517720297256578,66950,57026.13739013279,1329730,1127021.7818164462
49,0.8509435462542245,0,0.0,1329730,1127021.7818164462
50,0.850944192530547,0,0.0,1329730,1127021.7818164462
51,0.8509603196604069,83070,70689.27375419,1412800,1197711.0555706362
52,0.847983489072885,0,0.0,1412800,1197711.0555706362
53,0.8470959575330435,55390,46920.64508775528,1468190,1244631.7006583915
54,0.847076589287457,27690,23455.550757369685,1495880,1268087.2514157612
55,0.8509897427850329,27690,23563.90597771756,1523570,1291651.1573934788
56,0.8595127581025114,0,0.0,1523570,1291651.1573934788
57,0.8594656499511872,55390,47605.802350796264,1578960,1339256.959744275
58,0.8593729521564869,0,0.0,1578960,1339256.959744275
59,0.8593875325734277,55380,47592.88155391643,1634340,1386849.8412981916
60,0.8594227376008181,27690,23797.415604166654,1662030,1410647.2569023583
61,0.853800315949141,0,0.0,1662030,1410647.2569023583
62,0.8537146426018022,55390,47287.25405371383,1717420,1457934.510956072
63,0.8536993752399032,0,0.0,1717420,1457934.510956072
64,0.82257326170979,55380,45554.10723348817,1772800,1503488.6181895602
65,0.8936741431220332,27690,24745.8370230491,1800490,1528234.4552126094
66,0.8929150656214101,27700,24733.74731771306,1828190,1552968.2025303224
67,0.8999270979969315,0,0.0,1828190,1552968.2025303224
68,0.8999244259415266,55380,49837.81470864174,1883570,1602806.017238964
69,0.8999665272583632,0,0.0,1883570,1602806.017238964
70,0.8945440671985357,55390,49548.79588212689,1938960,1652354.8131210909
71,0.8793289170704752,27690,24348.61771368146,1966650,1676703.4308347723
72,0.8793952809162641,0,0.0,1966650,1676703.4308347723
73,0.8711838406881779,55380,48246.16109731129,2022030,1724949.5919320835
74,0.8711354341720121,0,0.0,2022030,1724949.5919320835
75,0.8726342524510656,0,0.0,2022030,1724949.5919320835
76,0.8725974932898992,83080,72495.39974252482,2105110,1797444.9916746083
77,0.8729736946671245,0,0.0,2105110,1797444.9916746083
78,0.8701841940110944,55380,48190.800664334405,2160490,1845635.7923389426
79,0.8702102604137454,0,0.0,2160490,1845635.7923389426
80,0.8560933098106813,55390,47419.00843041364,2215880,1893054.8007693563
81,0.8610224164369452,0,0.0,2215880,1893054.8007693563
82,0.8609129128777269,55380,47677.35711516852,2271260,1940732.157884525
83,0.8640589283814898,0,0.0,2271260,1940732.157884525
84,0.8640913980419523,55390,47862.02253754374,2326650,1988594.1804220686
85,0.8633450315792224,0,0.0,2326650,1988594.1804220686
86,0.8604789701368958,55380,47653.325366181285,2382030,2036247.50578825
87,0.8557261111484215,0,0.0,2382030,2036247.50578825
88,0.8547557004562407,55390,47344.91824827118,2437420,2083592.424036521
89,0.8547470786178761,0,0.0,2437420,2083592.424036521
90,0.8606739904408924,55380,47664.125590616626,2492800,2131256.549627138
91,0.8631920748744977,27690,23901.78855327484,2520490,2155158.3381804125
92,0.8634816980432202,0,0.0,2520490,2155158.3381804125
93,0.8504775106651736,55390,47107.949315743965,2575880,2202266.2874961565
94,0.850479350540741,0,0.0,2575880,2202266.2874961565
95,0.8586504439118265,55380,47552.061583836956,2631260,2249818.3490799936
96,0.858571146302616,0,0.0,2631260,2249818.3490799936
97,0.8501971694734236,55390,47092.421217132935,2686650,2296910.7702971264
98,0.8469954301627368,0,0.0,2686650,2296910.7702971264
99,0.8502937830648462,0,0.0,2686650,2296910.7702971264
100,0.855090795035536,83080,71040.94325155232,2769730,2367951.713548679
101,0.8550435567295013,0,0.0,2769730,2367951.713548679
102,0.8550159100446926,0,0.0,2769730,2367951.713548679
103,0.854942886355828,83070,71020.10556957863,2852800,2438971.8191182576
104,0.8551976675191227,0,0.0,2852800,2438971.8191182576
105,0.8676693664263679,55390,48060.20620635652,2908190,2487032.0253246143
106,0.8668883260028054,0,0.0,2908190,2487032.0253246143
107,0.8618462237636699,55380,47729.04387203204,2963570,2534761.069196646
108,0.9084921319712853,0,0.0,2963570,2534761.069196646
109,0.9540072086582748,55390,52842.45928758184,3018960,2587603.528484228
110,0.9541348319292517,27690,26419.99349612098,3046650,2614023.521980349
111,0.953505452783695,0,0.0,3046650,2614023.521980349
112,0.9575792932563427,55380,53030.74126053626,3102030,2667054.2632408855
113,0.9575339716353131,0,0.0,3102030,2667054.2632408855
114,0.9573029861602392,0,0.0,3102030,2667054.2632408855
115,0.9570763897989741,83080,79513.90646449877,3185110,2746568.1697053844
116,0.9570756629172175,0,0.0,3185110,2746568.1697053844
117,0.9574406258814143,55380,53023.06186131272,3240490,2799591.2315666974
118,0.9870646242371682,0,0.0,3240490,2799591.2315666974
119,0.9810823914638619,55390,54342.15366318331,3295880,2853933.3852298805
120,0.9812193069721927,0,0.0,3295880,2853933.3852298805
121,0.9814156565253395,55380,54350.7990583733,3351260,2908284.1842882535
122,0.97748782980119,0,0.0,3351260,2908284.1842882535
123,0.9775149861036257,55390,54144.55508027983,3406650,2962428.7393685332
124,0.9838634993996443,0,0.0,3406650,2962428.7393685332
125,0.9841735006344611,55380,54503.528465136456,3462030,3016932.2678336697
126,0.9841793782042061,0,0.0,3462030,3016932.2678336697
127,0.9846650338709775,55390,54540.59622611344,3517420,3071472.864059783
128,0.9846963205238077,0,0.0,3517420,3071472.864059783
129,0.9843159947167194,0,0.0,3517420,3071472.864059783
130,0.9884587603974546,83070,82111.26922621655,3600490,3153584.1332859998
131,0.9907612306896721,0,0.0,3600490,3153584.1332859998
132,0.9911720121704924,55390,54901.017754123575,3655880,3208485.1510401233
133,0.9912654669368627,27690,27448.140779481728,3683570,3235933.291819605
134,0.9912647140891364,0,0.0,3683570,3235933.291819605
135,0.9912373800175439,55390,54904.63847917176,3738960,3290837.930298777
136,0.9913019718105621,0,0.0,3738960,3290837.930298777
137,0.9914750971133088,55380,54907.89087813504,3794340,3345745.8211769117
138,0.9914810020280973,0,0.0,3794340,3345745.8211769117
139,0.9890136231322982,55390,54781.464585298,3849730,3400527.28576221
140,0.9890130597792215,0,0.0,3849730,3400527.28576221
141,0.9920567305294892,55380,54940.10173672311,3905110,3455467.387498933
142,0.9920485661508017,0,0.0,3905110,3455467.387498933
143,0.9914166172029047,55380,54904.652260696865,3960490,3510372.03975963
144,0.9848853110936279,0,0.0,3960490,3510372.03975963
145,0.9848899268213149,55390,54553.05304663263,4015880,3564925.0928062624
146,0.9841501197036756,27690,27251.116814594778,4043570,3592176.209620857
147,0.9841097385865284,27690,27249.99866146097,4071260,3619426.208282318
148,0.9880562275077055,27700,27369.157501963444,4098960,3646795.3657842814
149,0.9878684680309405,0,0.0,4098960,3646795.3657842814
150,0.9879521370592022,55380,54712.789350338615,4154340,3701508.15513462
151,0.9883173999260807,0,0.0,4154340,3701508.15513462
152,0.9180295809384443,0,0.0,4154340,3701508.15513462
153,0.9879409695857341,83080,82078.13575318278,4237420,3783586.290887803
154,0.9880733918661783,0,0.0,4237420,3783586.290887803
155,0.981680300623904,55380,54365.455048551805,4292800,3837951.7459363546
156,0.9817112131710091,0,0.0,4292800,3837951.7459363546
157,0.9817686789588352,55390,54380.16712752989,4348190,3892331.9130638847
158,1.0272915472089543,0,0.0,4348190,3892331.9130638847
159,1.0265594636358217,55380,56850.86309615181,4403570,3949182.7761600367
160,1.0216570878254225,0,0.0,4403570,3949182.7761600367
161,0.9749624890082074,55390,54003.172266164605,4458960,4003185.9484262015
162,0.9585538174376448,0,0.0,4458960,4003185.9484262015
163,0.9587193052965884,55380,53093.87512732507,4514340,4056279.823553527
164,0.9576585952577531,0,0.0,4514340,4056279.823553527
165,0.9500818213420981,55390,52625.03208413881,4569730,4108904.8556376654
166,0.9095014038379754,0,0.0,4569730,4108904.8556376654
167,0.9095447523005473,0,0.0,4569730,4108904.8556376654
168,0.975234358082308,83070,81012.71812589733,4652800,4189917.573763563
169,0.9750597066538754,0,0.0,4652800,4189917.573763563
170,0.977831233645749,55230,54005.61903425471,4708030,4243923.192797817
171,0.9677239521392671,0,0.0,4708030,4243923.192797817
172,0.9692949867058203,55540,53834.64356164126,4763570,4297757.836359459
173,0.9806521097201822,0,0.0,4763570,4297757.836359459
174,0.9546190778633301,53800,51358.50638904716,4817370,4349116.342748506
175,0.9440534732699687,0,0.0,4817370,4349116.342748506
176,0.9441353788600925,56970,53787.39253365947,4874340,4402903.735282166
177,0.9330887655373088,0,0.0,4874340,4402903.735282166
178,0.9329010783158587,55390,51673.39072791541,4929730,4454577.126010082
179,0.9327410570549768,0,0.0,4929730,4454577.126010082
180,0.9257037563384765,55380,51265.47402602483,4985110,4505842.600036107
181,0.9201004315594535,0,0.0,4985110,4505842.600036107
182,0.9035359502751422,55380,50037.82092623738,5040490,4555880.420962344
183,0.9001951476124183,27700,24935.405588863985,5068190,4580815.826551208
184,0.9001998876134486,27690,24926.53488801639,5095880,4605742.361439224
185,0.9038816856353271,27690,25028.483875242207,5123570,4630770.845314466
186,0.9022272944218871,27690,24982.673782542053,5151260,4655753.519097009
187,0.8919547035818796,0,0.0,5151260,4655753.519097009
188,0.9134931308584627,55390,50598.38451825025,5206650,4706351.903615259
189,0.9051785944940857,0,0.0,5206650,4706351.903615259
190,0.9035646886223975,0,0.0,5206650,4706351.903615259
191,0.8720908604951315,83080,72453.30868993553,5289730,4778805.212305194
192,0.8737187802508032,0,0.0,5289730,4778805.212305194
193,0.8761416378404968,55380,48520.72390360671,5345110,4827325.9362088
194,0.8666271896119995,27690,23996.906880356266,5372800,4851322.843089157
195,0.8670991924214128,27690,24009.97663814892,5400490,4875332.819727305
196,0.871057588886224,27700,24128.295212148405,5428190,4899461.114939454
197,0.8717331704115237,0,0.0,5428190,4899461.114939454
198,0.8732749111512423,55380,48361.9645795558,5483570,4947823.07951901
