iteration,price,units_sold_day,revenue_day,units_sold_cum,revenue_cum
1,0.8149249066030035,2710,2208.4464968941397,2710,2208.4464968941397
2,0.8189429843050565,0,0.0,2710,2208.4464968941397
3,0.8130142984612808,0,0.0,2710,2208.4464968941397
4,0.813013680992009,0,0.0,2710,2208.4464968941397
5,0.8119877314445799,0,0.0,2710,2208.4464968941397
6,0.8120012866482745,0,0.0,2710,2208.4464968941397
7,0.8119344624379534,0,0.0,2710,2208.4464968941397
8,0.8121228562879578,0,0.0,2710,2208.4464968941397
9,0.8129132104630158,17720,14404.822089404639,20430,16613.26858629878
10,0.8139616434867907,2220,1806.9948485406753,22650,18420.263434839453
11,0.8206393872889836,2210,1813.6130459086537,24860,20233.876480748106
12,0.8480644520210677,2220,1882.7030834867703,27080,22116.579564234875
13,0.8482162402497235,2210,1874.557890951889,29290,23991.137455186763
14,0.852699312897188,2220,1892.9924746317574,31510,25884.12992981852
15,0.8526637421184395,2220,1892.9135075029358,33730,27777.043437321456
16,0.8635858698686604,2210,1908.5247724097394,35940,29685.568209731195
17,0.864176293488095,2220,1918.471371543571,38160,31604.039581274767
18,0.8642078216590189,2210,1909.8992858664317,40370,33513.9388671412
19,0.863033271763748,0,0.0,40370,33513.9388671412
20,0.8630533038622524,0,0.0,40370,33513.9388671412
21,0.862957647078312,0,0.0,40370,33513.9388671412
22,0.8603653304408011,0,0.0,40370,33513.9388671412
23,0.860364840367212,0,0.0,40370,33513.9388671412
24,0.865975995219679,0,0.0,40370,33513.9388671412
25,0.8665179915333021,0,0.0,40370,33513.9388671412
26,0.8702983782108338,0,0.0,40370,33513.9388671412
27,0.8706882148181604,0,0.0,40370,33513.9388671412
28,0.8709992947716317,0,0.0,40370,33513.9388671412
29,0.8686187975723149,0,0.0,40370,33513.9388671412
30,0.868715524980239,0,0.0,40370,33513.9388671412
31,0.8437406656528655,0,0.0,40370,33513.9388671412
32,0.8437846168054135,0,0.0,40370,33513.9388671412
33,0.8435144654253808,0,0.0,40370,33513.9388671412
34,0.8434397051891572,0,0.0,40370,33513.9388671412
35,0.8660612344209397,0,0.0,40370,33513.9388671412
36,0.8684199627575774,0,0.0,40370,33513.9388671412
37,0.8686449026541422,0,0.0,40370,33513.9388671412
38,0.8686209995139126,0,0.0,40370,33513.9388671412
39,0.868527959874724,0,0.0,40370,33513.9388671412
40,0.8614362386189652,0,0.0,40370,33513.9388671412
41,0.8612053982259178,0,0.0,40370,33513.9388671412
42,0.8551643592735795,0,0.0,40370,33513.9388671412
43,0.8536446611976422,0,0.0,40370,33513.9388671412
44,0.8534919719791378,0,0.0,40370,33513.9388671412
45,0.8504169533116347,0,0.0,40370,33513.9388671412
46,0.850459260126116,0,0.0,40370,33513.9388671412
47,0.8503908674256317,0,0.0,40370,33513.9388671412
48,0.8517720297256578,0,0.0,40370,33513.9388671412
49,0.8509435462542245,0,0.0,40370,33513.9388671412
50,0.850944192530547,0,0.0,40370,33513.9388671412
51,0.8509603196604069,0,0.0,40370,33513.9388671412
52,0.847983489072885,0,0.0,40370,33513.9388671412
53,0.8470959575330435,0,0.0,40370,33513.9388671412
54,0.847076589287457,0,0.0,40370,33513.9388671412
55,0.8509897427850329,0,0.0,40370,33513.9388671412
56,0.8595127581025114,0,0.0,40370,33513.9388671412
57,0.8594656499511872,0,0.0,40370,33513.9388671412
58,0.8593729521564869,0,0.0,40370,33513.9388671412
59,0.8593875325734277,0,0.0,40370,33513.9388671412
60,0.8594227376008181,0,0.0,40370,33513.9388671412
61,0.853800315949141,0,0.0,40370,33513.9388671412
62,0.8537146426018022,0,0.0,40370,33513.9388671412
63,0.8536993752399032,0,0.0,40370,33513.9388671412
64,0.82257326170979,0,0.0,40370,33513.9388671412
65,0.8936741431220332,0,0.0,40370,33513.9388671412
66,0.8929150656214101,0,0.0,40370,33513.9388671412
67,0.8999270979969315,0,0.0,40370,33513.9388671412
68,0.8999244259415266,0,0.0,40370,33513.9388671412
69,0.8999665272583632,0,0.0,40370,33513.9388671412
70,0.8945440671985357,0,0.0,40370,33513.9388671412
71,0.8793289170704752,0,0.0,40370,33513.9388671412
72,0.8793952809162641,0,0.0,40370,33513.9388671412
73,0.8711838406881779,0,0.0,40370,33513.9388671412
74,0.8711354341720121,0,0.0,40370,33513.9388671412
75,0.8726342524510656,0,0.0,40370,33513.9388671412
76,0.8725974932898992,0,0.0,40370,33513.9388671412
77,0.8729736946671245,0,0.0,40370,33513.9388671412
78,0.8701841940110944,0,0.0,40370,33513.9388671412
79,0.8702102604137454,0,0.0,40370,33513.9388671412
80,0.8560933098106813,0,0.0,40370,33513.9388671412
81,0.8610224164369452,0,0.0,40370,33513.9388671412
82,0.8609129128777269,0,0.0,40370,33513.9388671412
83,0.8640589283814898,0,0.0,40370,33513.9388671412
84,0.8640913980419523,0,0.0,40370,33513.9388671412
85,0.8633450315792224,0,0.0,40370,33513.9388671412
86,0.8604789701368958,0,0.0,40370,33513.9388671412
87,0.8557261111484215,0,0.0,40370,33513.9388671412
88,0.8547557004562407,0,0.0,40370,33513.9388671412
89,0.8547470786178761,0,0.0,40370,33513.9388671412
90,0.8606739904408924,0,0.0,40370,33513.9388671412
91,0.8631920748744977,0,0.0,40370,33513.9388671412
92,0.8634816980432202,0,0.0,40370,33513.9388671412
93,0.8504775106651736,0,0.0,40370,33513.9388671412
94,0.850479350540741,0,0.0,40370,33513.9388671412
95,0.8586504439118265,0,0.0,40370,33513.9388671412
96,0.858571146302616,0,0.0,40370,33513.9388671412
97,0.8501971694734236,0,0.0,40370,33513.9388671412
98,0.8469954301627368,0,0.0,40370,33513.9388671412
99,0.8502937830648462,0,0.0,40370,33513.9388671412
100,0.855090795035536,85750,73324.0356742972,126120,106837.97454143841
101,0.8550435567295013,0,0.0,126120,106837.97454143841
102,0.8550159100446926,0,0.0,126120,106837.97454143841
103,0.854942886355828,1730,1479.0511933955825,127850,108317.025734834
104,0.8551976675191227,0,0.0,127850,108317.025734834
105,0.8676693664263679,0,0.0,127850,108317.025734834
106,0.8668883260028054,0,0.0,127850,108317.025734834
107,0.8618462237636699,75790,65319.32529904854,203640,173636.35103388253
108,0.9084921319712853,0,0.0,203640,173636.35103388253
109,0.9540072086582748,0,0.0,203640,173636.35103388253
110,0.9541348319292517,0,0.0,203640,173636.35103388253
111,0.953505452783695,0,0.0,203640,173636.35103388253
112,0.9575792932563427,44980,43071.9166106703,248620,216708.26764455283
113,0.9575339716353131,0,0.0,248620,216708.26764455283
114,0.9573029861602392,0,0.0,248620,216708.26764455283
115,0.9570763897989741,6640,6354.987228265189,255260,223063.254872818
116,0.9570756629172175,0,0.0,255260,223063.254872818
117,0.9574406258814143,0,0.0,255260,223063.254872818
118,0.9870646242371682,0,0.0,255260,223063.254872818
119,0.9810823914638619,8870,8702.200812284455,264130,231765.45568510247
120,0.9812193069721927,0,0.0,264130,231765.45568510247
121,0.9814156565253395,0,0.0,264130,231765.45568510247
122,0.97748782980119,0,0.0,264130,231765.45568510247
123,0.9775149861036257,8860,8660.782776878124,272990,240426.2384619806
124,0.9838634993996443,0,0.0,272990,240426.2384619806
125,0.9841735006344611,0,0.0,272990,240426.2384619806
126,0.9841793782042061,0,0.0,272990,240426.2384619806
127,0.9846650338709775,8860,8724.132200096861,281850,249150.37066207745
128,0.9846963205238077,0,0.0,281850,249150.37066207745
129,0.9843159947167194,0,0.0,281850,249150.37066207745
130,0.9884587603974546,6640,6563.366169039099,288490,255713.73683111655
131,0.9907612306896721,0,0.0,288490,255713.73683111655
132,0.9911720121704924,0,0.0,288490,255713.73683111655
133,0.9912654669368627,0,0.0,288490,255713.73683111655
134,0.9912647140891364,0,0.0,288490,255713.73683111655
135,0.9912373800175439,11080,10982.910170594387,299570,266696.64700171095
136,0.9913019718105621,0,0.0,299570,266696.64700171095
137,0.9914750971133088,0,0.0,299570,266696.64700171095
138,0.9914810020280973,0,0.0,299570,266696.64700171095
139,0.9890136231322982,8860,8762.660700952163,308430,275459.3077026631
140,0.9890130597792215,0,0.0,308430,275459.3077026631
141,0.9920567305294892,0,0.0,308430,275459.3077026631
142,0.9920485661508017,0,0.0,308430,275459.3077026631
143,0.9914166172029047,8860,8783.951228417736,317290,284243.25893108087
144,0.9848853110936279,0,0.0,317290,284243.25893108087
145,0.9848899268213149,0,0.0,317290,284243.25893108087
146,0.9841501197036756,0,0.0,317290,284243.25893108087
147,0.9841097385865284,8870,8729.053381262507,326160,292972.3123123434
148,0.9880562275077055,0,0.0,326160,292972.3123123434
149,0.9878684680309405,0,0.0,326160,292972.3123123434
150,0.9879521370592022,6640,6560.002190073103,332800,299532.31450241647
151,0.9883173999260807,0,0.0,332800,299532.31450241647
152,0.9180295809384443,0,0.0,332800,299532.31450241647
153,0.9879409695857341,4190,4139.472662564226,336990,303671.7871649807
154,0.9880733918661783,0,0.0,336990,303671.7871649807
155,0.981680300623904,0,0.0,336990,303671.7871649807
156,0.9817112131710091,0,0.0,336990,303671.7871649807
157,0.9817686789588352,11320,11113.621445814015,348310,314785.40861079475
158,1.0272915472089543,0,0.0,348310,314785.40861079475
159,1.0265594636358217,0,0.0,348310,314785.40861079475
160,1.0216570878254225,0,0.0,348310,314785.40861079475
161,0.9749624890082074,8860,8638.167652612718,357170,323423.5762634075
162,0.9585538174376448,0,0.0,357170,323423.5762634075
163,0.9587193052965884,0,0.0,357170,323423.5762634075
164,0.9576585952577531,0,0.0,357170,323423.5762634075
165,0.9500818213420981,8860,8417.724937090989,366030,331841.3012004985
166,0.9095014038379754,0,0.0,366030,331841.3012004985
167,0.9095447523005473,0,0.0,366030,331841.3012004985
168,0.975234358082308,6650,6485.308481247348,372680,338326.6096817458
169,0.9750597066538754,0,0.0,372680,338326.6096817458
170,0.977831233645749,0,0.0,372680,338326.6096817458
171,0.9677239521392671,0,0.0,372680,338326.6096817458
172,0.9692949867058203,8860,8587.953582213568,381540,346914.56326395937
173,0.9806521097201822,0,0.0,381540,346914.56326395937
174,0.9546190778633301,0,0.0,381540,346914.56326395937
175,0.9440534732699687,0,0.0,381540,346914.56326395937
176,0.9441353788600925,8860,8365.039456700419,390400,355279.6027206598
177,0.9330887655373088,0,0.0,390400,355279.6027206598
178,0.9329010783158587,0,0.0,390400,355279.6027206598
179,0.9327410570549768,0,0.0,390400,355279.6027206598
180,0.9257037563384765,8860,8201.7352811589,399260,363481.3380018187
181,0.9201004315594535,0,0.0,399260,363481.3380018187
182,0.9035359502751422,0,0.0,399260,363481.3380018187
183,0.9001951476124183,0,0.0,399260,363481.3380018187
184,0.9001998876134486,0,0.0,399260,363481.3380018187
185,0.9038816856353271,0,0.0,399260,363481.3380018187
186,0.9022272944218871,0,0.0,399260,363481.3380018187
187,0.8919547035818796,0,0.0,399260,363481.3380018187
188,0.9134931308584627,17730,16196.233210120545,416990,379677.5712119392
189,0.9051785944940857,0,0.0,416990,379677.5712119392
190,0.9035646886223975,0,0.0,416990,379677.5712119392
191,0.8720908604951315,6640,5790.683313687673,423630,385468.2545256269
192,0.8737187802508032,0,0.0,423630,385468.2545256269
193,0.8761416378404968,0,0.0,423630,385468.2545256269
194,0.8666271896119995,0,0.0,423630,385468.2545256269
195,0.8670991924214128,0,0.0,423630,385468.2545256269
196,0.871057588886224,0,0.0,423630,385468.2545256269
197,0.8717331704115237,0,0.0,423630,385468.2545256269
198,0.8732749111512423,15510,13544.493871955769,439140,399012.7483975827
199,0.8949695346927319,0,0.0,439140,399012.7483975827
200,0.8947915899372955,0,0.0,439140,399012.7483975827
201,0.9003597336689235,0,0.0,439140,399012.7483975827
202,0.897439557367178,8860,7951.314478273197,448000,406964.0628758559
203,0.8975013342481171,0,0.0,448000,406964.0628758559
204,0.8937048875996582,0,0.0,448000,406964.0628758559
205,0.8934907297890318,6650,5941.713353097061,454650,412905.776228953
206,0.8935286235695249,0,0.0,454650,412905.776228953
207,0.8936418599629868,0,0.0,454650,412905.776228953
208,0.8936509988422637,0,0.0,454650,412905.776228953
209,0.9044704693107893,0,0.0,454650,412905.776228953
210,0.8975937965758307,0,0.0,454650,412905.776228953
211,0.8976301784128673,0,0.0,454650,412905.776228953
212,0.9020591859000506,15510,13990.937973309785,470160,426896.71420226275
213,0.8978950047960675,0,0.0,470160,426896.71420226275
214,0.896707703436396,0,0.0,470160,426896.71420226275
215,0.8951782730681822,0,0.0,470160,426896.71420226275
216,0.8911424449733405,0,0.0,470160,426896.71420226275
217,0.8859353252675376,11070,9807.304050711642,481230,436704.0182529744
218,0.8842323404520701,0,0.0,481230,436704.0182529744
219,0.8825396708945574,0,0.0,481230,436704.0182529744
220,0.8820932599329419,0,0.0,481230,436704.0182529744
221,0.8833903799352687,0,0.0,481230,436704.0182529744
222,0.8834955195546527,11080,9789.130356665552,492310,446493.1486096399
223,0.8829948466772303,0,0.0,492310,446493.1486096399
224,0.8821555641572646,0,0.0,492310,446493.1486096399
225,0.8821296776650995,6650,5866.162356472912,498960,452359.3109661128
226,0.879124453694775,0,0.0,498960,452359.3109661128
227,0.879132489550414,0,0.0,498960,452359.3109661128
228,0.852659294793814,6640,5661.657717430925,505600,458020.96868354373
229,0.9144433361917739,0,0.0,505600,458020.96868354373
230,0.9141387705382245,0,0.0,505600,458020.96868354373
231,0.9131614934409444,6650,6072.52393138228,512250,464093.492614926
232,0.9103408942276937,0,0.0,512250,464093.492614926
233,0.910702782437552,0,0.0,512250,464093.492614926
234,0.9098782186312868,0,0.0,512250,464093.492614926
235,0.9082936661214065,8860,8047.481881835662,521110,472140.9744967617
236,0.9301770414517263,0,0.0,521110,472140.9744967617
237,0.9295011685358584,0,0.0,521110,472140.9744967617
238,0.9295766338047269,0,0.0,521110,472140.9744967617
239,0.9294473996582173,8860,8234.903960971806,529970,480375.8784577335
240,0.9292583746526131,0,0.0,529970,480375.8784577335
241,0.9291181828014088,0,0.0,529970,480375.8784577335
242,0.9296106167820564,0,0.0,529970,480375.8784577335
243,0.9372763795791296,0,0.0,529970,480375.8784577335
244,0.9369007790904235,11080,10380.860632321892,541050,490756.7390900554
245,0.9368822649163798,0,0.0,541050,490756.7390900554
246,0.9375461908431522,0,0.0,541050,490756.7390900554
247,0.9246070597777032,6640,6139.390876923949,547690,496896.1299669793
248,0.9269988752369525,0,0.0,547690,496896.1299669793
249,0.9272462170095727,0,0.0,547690,496896.1299669793
250,0.935711535779037,0,0.0,547690,496896.1299669793
251,0.9412667804008615,8870,8349.036342155641,556560,505245.166309135
252,0.9136156251276225,0,0.0,556560,505245.166309135
253,0.9185695353368545,0,0.0,556560,505245.166309135
254,0.932750789533898,0,0.0,556560,505245.166309135
255,0.9404044760186464,0,0.0,556560,505245.166309135
256,0.9403728998682767,0,0.0,556560,505245.166309135
257,0.9275829141179913,13290,12327.576928628105,569850,517572.74323776306
258,0.9310261371536122,0,0.0,569850,517572.74323776306
259,0.9311536598856784,0,0.0,569850,517572.74323776306
260,0.9399750520340376,6640,6241.43434550601,576490,523814.1775832691
261,0.9509984247515779,0,0.0,576490,523814.1775832691
262,0.9559240580409752,0,0.0,576490,523814.1775832691
263,0.956170805350923,0,0.0,576490,523814.1775832691
264,0.9562143035990436,0,0.0,576490,523814.1775832691
265,0.9562496429064076,11080,10595.246043402996,587570,534409.4236266721
266,0.9798926639468152,0,0.0,587570,534409.4236266721
267,1.0038405440834608,0,0.0,587570,534409.4236266721
268,1.002623693391024,0,0.0,587570,534409.4236266721
269,1.0077710590978253,8860,8928.851583606733,596430,543338.2752102788
270,1.0078303691041521,0,0.0,596430,543338.2752102788
271,1.0075493109312172,0,0.0,596430,543338.2752102788
272,1.0089275256476493,0,0.0,596430,543338.2752102788
273,1.0073288188384384,0,0.0,596430,543338.2752102788
274,1.0073524413492427,11080,11161.465050149609,607510,554499.7402604284
275,1.006908961810978,0,0.0,607510,554499.7402604284
276,1.0032348809950924,0,0.0,607510,554499.7402604284
277,1.0030613502490346,0,0.0,607510,554499.7402604284
278,1.0035400233960203,8860,8891.36460728874,616370,563391.1048677171
279,1.0046948303443546,0,0.0,616370,563391.1048677171
280,1.004808792851773,0,0.0,616370,563391.1048677171
281,1.004807266584569,0,0.0,616370,563391.1048677171
282,1.0034799487923844,8860,8890.832346300525,625230,572281.9372140176
283,1.0033195262668557,0,0.0,625230,572281.9372140176
284,0.9999006048624633,0,0.0,625230,572281.9372140176
285,1.002809869203277,0,0.0,625230,572281.9372140176
286,1.002855906107788,8860,8885.303328115002,634090,581167.2405421326
287,1.001789347058115,0,0.0,634090,581167.2405421326
288,1.0038453090320605,0,0.0,634090,581167.2405421326
289,1.004050353506893,0,0.0,634090,581167.2405421326
290,1.0050332372132385,8870,8914.644814081425,642960,590081.885356214
291,1.0007689085666576,0,0.0,642960,590081.885356214
292,1.0007681485015036,0,0.0,642960,590081.885356214
293,0.9902009331676955,0,0.0,642960,590081.885356214
294,0.9901406518633606,0,0.0,642960,590081.885356214
295,0.9901491843909882,11070,10960.95147120824,654030,601042.8368274223
296,0.9901410464500742,0,0.0,654030,601042.8368274223
297,0.9901616307404297,0,0.0,654030,601042.8368274223
298,0.9892339718100189,0,0.0,654030,601042.8368274223
299,0.9862372648414811,8860,8738.062166495523,662890,609780.8989939177
300,0.9863451621507907,0,0.0,662890,609780.8989939177
301,0.9970242377040346,0,0.0,662890,609780.8989939177
302,0.9970249949260155,0,0.0,662890,609780.8989939177
303,0.9955248925007139,8870,8830.305796481332,671760,618611.2047903991
304,0.9956436816629978,0,0.0,671760,618611.2047903991
305,0.9897203243806192,0,0.0,671760,618611.2047903991
306,0.9820485925761656,6640,6520.80265470574,678400,625132.0074451048
307,0.9819285309496704,0,0.0,678400,625132.0074451048
308,0.9831350816309932,0,0.0,678400,625132.0074451048
309,0.9830260793276895,0,0.0,678400,625132.0074451048
310,0.9803087460040437,0,0.0,678400,625132.0074451048
311,0.9804345168160545,11080,10863.214446321885,689480,635995.2218914266
312,0.9802608019412168,0,0.0,689480,635995.2218914266
313,0.9630467848751549,0,0.0,689480,635995.2218914266
314,0.9633241088773767,0,0.0,689480,635995.2218914266
315,0.9818568797280235,0,0.0,689480,635995.2218914266
316,0.9818561340259446,11080,10878.965965007466,700560,646874.187856434
317,0.9822639795901766,0,0.0,700560,646874.187856434
318,0.9822514037725207,0,0.0,700560,646874.187856434
319,0.98220616021456,0,0.0,700560,646874.187856434
320,0.9634142415694061,8860,8535.850180304938,709420,655410.038036739
321,0.9637497031361366,0,0.0,709420,655410.038036739
322,0.9640427806565021,0,0.0,709420,655410.038036739
323,0.9664930089220801,6640,6417.513579242612,716060,661827.5516159816
324,0.9666448211895696,0,0.0,716060,661827.5516159816
325,0.9630686248223084,0,0.0,716060,661827.5516159816
326,0.962857369229222,0,0.0,716060,661827.5516159816
