iteration,price,units_sold_cum,revenue_cum
1,0.691197674014998,0,0.0
2,0.8761638675629563,0,0.0
3,0.8470549714242275,0,0.0
4,0.8674974768291885,0,0.0
5,0.8968354025470628,0,0.0
6,0.932461877594453,0,0.0
7,0.9318624514963815,0,0.0
8,0.931620947531914,0,0.0
9,0.9337356897096859,0,0.0
10,0.9028221713864526,0,0.0
11,0.9231440351643203,0,0.0
12,0.9044322308866638,0,0.0
13,0.9216165989332573,0,0.0
14,0.8749004386513204,0,0.0
15,0.856791180587187,0,0.0
16,0.8451061103545832,0,0.0
17,0.8873073355830235,0,0.0
18,0.9104960418236697,0,0.0
19,0.9262681171882234,0,0.0
20,0.8910366282636596,0,0.0
21,0.8892575776704996,0,0.0
22,0.8986345146082144,0,0.0
23,0.8921188245484549,0,0.0
24,0.8922543059695061,0,0.0
25,0.9169779377516217,0,0.0
26,0.8454050711317576,0,0.0
27,0.8663684926774557,0,0.0
28,0.8672338133169222,0,0.0
29,0.8917677601848776,0,0.0
30,0.9264452724152032,0,0.0
31,0.9438784518291264,0,0.0
32,0.907058718631046,0,0.0
33,0.8847052759698144,0,0.0
34,0.8761608089076515,0,0.0
35,0.9135184182105119,0,0.0
36,0.9020300112786406,0,0.0
37,0.9136821192541652,0,0.0
38,0.849706248789028,0,0.0
39,0.8509191392915448,0,0.0
40,0.8579085178947002,0,0.0
41,0.9014993181497297,0,0.0
42,0.9247540213817261,0,0.0
43,0.9319327035407735,0,0.0
44,0.9134572052213743,0,0.0
45,0.9281842732375537,0,0.0
46,0.9150752903054972,0,0.0
47,0.915737720563589,0,0.0
48,0.923620707111116,0,0.0
49,0.9527490350516944,0,0.0
50,0.8572235439524377,0,0.0
51,0.8616240019275556,0,0.0
52,0.8636799621927186,0,0.0
53,0.926060143613898,0,0.0
54,0.9649179458350772,0,0.0
55,0.9430875874788105,0,0.0
56,0.9283871784594518,0,0.0
57,0.9026688109067125,0,0.0
58,0.9145016347825039,0,0.0
59,0.919568932084325,0,0.0
60,0.9235844840321696,0,0.0
