iteration,price,units_sold_day,revenue_day,units_sold_cum,revenue_cum
1,0.8149249066030035,44800,36508.63581581456,44800,36508.63581581456
2,0.8189429843050565,0,0.0,44800,36508.63581581456
3,0.8130142984612808,16170,13146.44120611891,60970,49655.077021933466
4,0.813013680992009,37520,30504.273310820176,98490,80159.35033275365
5,0.8119877314445799,59530,48337.62965289584,158020,128496.9799856495
6,0.8120012866482745,83450,67761.50737079851,241470,196258.48735644802
7,0.8119344624379534,69180,56169.62611145762,310650,252428.11346790564
8,0.8121228562879578,44310,35985.16376211941,354960,288413.27723002504
9,0.8129132104630158,44300,36012.0552235116,399260,324425.3324535366
10,0.8139616434867907,44310,36066.6404228997,443570,360491.9728764363
11,0.8206393872889836,44310,36362.53125077486,487880,396854.50412721117
12,0.8480644520210677,44310,37577.73586905351,532190,434432.2399962647
13,0.8482162402497235,44300,37575.97944306275,576490,472008.2194393274
14,0.852699312897188,44310,37783.106554474405,620800,509791.3259938018
15,0.8526637421184395,44310,37781.530413268054,665110,547572.8564070698
16,0.8635858698686604,44310,38265.48989388034,709420,585838.3463009502
17,0.864176293488095,44310,38291.65156445749,753730,624129.9978654076
18,0.8642078216590189,44300,38284.40649949454,798030,662414.4043649022
19,0.863033271763748,0,0.0,798030,662414.4043649022
20,0.8630533038622524,0,0.0,798030,662414.4043649022
21,0.862957647078312,0,0.0,798030,662414.4043649022
22,0.8603653304408011,0,0.0,798030,662414.4043649022
23,0.860364840367212,0,0.0,798030,662414.4043649022
24,0.865975995219679,0,0.0,798030,662414.4043649022
25,0.8665179915333021,0,0.0,798030,662414.4043649022
26,0.8702983782108338,0,0.0,798030,662414.4043649022
27,0.8706882148181604,0,0.0,798030,662414.4043649022
28,0.8709992947716317,0,0.0,798030,662414.4043649022
29,0.8686187975723149,0,0.0,798030,662414.4043649022
30,0.868715524980239,0,0.0,798030,662414.4043649022
31,0.8437406656528655,0,0.0,798030,662414.4043649022
32,0.8437846168054135,0,0.0,798030,662414.4043649022
33,0.8435144654253808,0,0.0,798030,662414.4043649022
34,0.8434397051891572,0,0.0,798030,662414.4043649022
35,0.8660612344209397,0,0.0,798030,662414.4043649022
36,0.8684199627575774,0,0.0,798030,662414.4043649022
37,0.8686449026541422,110060,95603.05798611489,908090,758017.462351017
38,0.8686209995139126,0,0.0,908090,758017.462351017
39,0.868527959874724,0,0.0,908090,758017.462351017
40,0.8614362386189652,342440,294990.22555267846,1250530,1053007.6879036955
41,0.8612053982259178,0,0.0,1250530,1053007.6879036955
42,0.8551643592735795,0,0.0,1250530,1053007.6879036955
43,0.8536446611976422,0,0.0,1250530,1053007.6879036955
44,0.8534919719791378,346440,295683.75877245254,1596970,1348691.446676148
45,0.8504169533116347,0,0.0,1596970,1348691.446676148
46,0.850459260126116,0,0.0,1596970,1348691.446676148
47,0.8503908674256317,0,0.0,1596970,1348691.446676148
48,0.8517720297256578,349970,298094.65724308847,1946940,1646786.1039192365
49,0.8509435462542245,0,0.0,1946940,1646786.1039192365
50,0.850944192530547,0,0.0,1946940,1646786.1039192365
51,0.8509603196604069,199190,169502.78607315643,2146130,1816288.8899923929
52,0.847983489072885,0,0.0,2146130,1816288.8899923929
53,0.8470959575330435,112070,94934.04396072817,2258200,1911222.933953121
54,0.847076589287457,35340,29935.68666541873,2293540,1941158.6206185399
55,0.8509897427850329,142020,120857.56327033037,2435560,2062016.1838888703
56,0.8595127581025114,0,0.0,2435560,2062016.1838888703
57,0.8594656499511872,90470,77755.8573510839,2526030,2139772.041239954
58,0.8593729521564869,0,0.0,2526030,2139772.041239954
59,0.8593875325734277,88620,76158.92313665716,2614650,2215930.964376611
60,0.8594227376008181,35140,30200.11499929275,2649790,2246131.079375904
61,0.853800315949141,0,0.0,2649790,2246131.079375904
62,0.8537146426018022,97780,83476.21775360421,2747570,2329607.297129508
63,0.8536993752399032,0,0.0,2747570,2329607.297129508
64,0.82257326170979,6740,5544.143783923984,2754310,2335151.4409134323
65,0.8936741431220332,126180,112763.80337913815,2880490,2447915.2442925703
66,0.8929150656214101,41750,37279.20398969387,2922240,2485194.448282264
67,0.8999270979969315,0,0.0,2922240,2485194.448282264
68,0.8999244259415266,91180,82055.10915734839,3013420,2567249.5574396127
69,0.8999665272583632,0,0.0,3013420,2567249.5574396127
70,0.8945440671985357,7890,7057.952690196447,3021310,2574307.510129809
71,0.8793289170704752,125030,109942.49450132152,3146340,2684250.0046311305
72,0.8793952809162641,0,0.0,3146340,2684250.0046311305
73,0.8711838406881779,88620,77204.31196178633,3234960,2761454.316592917
74,0.8711354341720121,0,0.0,3234960,2761454.316592917
75,0.8726342524510656,0,0.0,3234960,2761454.316592917
76,0.8725974932898992,132920,115985.6588080934,3367880,2877439.9754010104
77,0.8729736946671245,0,0.0,3367880,2877439.9754010104
78,0.8701841940110944,9390,8171.029581764176,3377270,2885611.0049827746
79,0.8702102604137454,0,0.0,3377270,2885611.0049827746
80,0.8560933098106813,167840,143686.70111862474,3545110,3029297.7061013994
81,0.8610224164369452,0,0.0,3545110,3029297.7061013994
82,0.8609129128777269,9920,8540.25609574705,3555030,3037837.9621971464
83,0.8640589283814898,0,0.0,3555030,3037837.9621971464
84,0.8640913980419523,167310,144571.13180639903,3722340,3182409.0940035456
85,0.8633450315792224,0,0.0,3722340,3182409.0940035456
86,0.8604789701368958,11950,10282.723693135904,3734290,3192691.8176966817
87,0.8557261111484215,0,0.0,3734290,3192691.8176966817
88,0.8547557004562407,165280,141274.02217140747,3899570,3333965.839868089
89,0.8547470786178761,0,0.0,3899570,3333965.839868089
90,0.8606739904408924,17650,15190.895931281751,3917220,3349156.735799371
91,0.8631920748744977,115270,99500.15047078335,4032490,3448656.8862701543
92,0.8634816980432202,0,0.0,4032490,3448656.8862701543
93,0.8504775106651736,88620,75369.31699514769,4121110,3524026.203265302
94,0.850479350540741,0,0.0,4121110,3524026.203265302
95,0.8586504439118265,88620,76093.60233946607,4209730,3600119.805604768
96,0.858571146302616,0,0.0,4209730,3600119.805604768
97,0.8501971694734236,88610,75335.97118704006,4298340,3675455.776791808
