iteration,price,units_sold_day,revenue_day,units_sold_cum,revenue_cum
1,0.8149249066030035,11020,8980.472470765098,11020,8980.472470765098
2,0.8189429843050565,0,0.0,11020,8980.472470765098
3,0.8130142984612808,0,0.0,11020,8980.472470765098
4,0.813013680992009,0,0.0,11020,8980.472470765098
5,0.8119877314445799,0,0.0,11020,8980.472470765098
6,0.8120012866482745,0,0.0,11020,8980.472470765098
7,0.8119344624379534,0,0.0,11020,8980.472470765098
8,0.8121228562879578,0,0.0,11020,8980.472470765098
9,0.8129132104630158,0,0.0,11020,8980.472470765098
10,0.8139616434867907,94710,77090.30725463394,105730,86070.77972539904
11,0.8206393872889836,10520,8633.126354280106,116250,94703.90607967915
12,0.8480644520210677,10520,8921.638035261632,126770,103625.54411494077
13,0.8482162402497235,10530,8931.717009829588,137300,112557.26112477036
14,0.852699312897188,10520,8970.396771678417,147820,121527.65789644877
15,0.8526637421184395,10520,8970.022567085984,158340,130497.68046353475
16,0.8635858698686604,10520,9084.923351018308,168860,139582.60381455306
17,0.864176293488095,10530,9099.77637042964,179390,148682.3801849827
18,0.8642078216590189,10520,9091.466283852878,189910,157773.84646883557
19,0.863033271763748,0,0.0,189910,157773.84646883557
20,0.8630533038622524,0,0.0,189910,157773.84646883557
21,0.862957647078312,0,0.0,189910,157773.84646883557
22,0.8603653304408011,0,0.0,189910,157773.84646883557
23,0.860364840367212,0,0.0,189910,157773.84646883557
24,0.865975995219679,0,0.0,189910,157773.84646883557
25,0.8665179915333021,0,0.0,189910,157773.84646883557
26,0.8702983782108338,0,0.0,189910,157773.84646883557
27,0.8706882148181604,0,0.0,189910,157773.84646883557
28,0.8709992947716317,0,0.0,189910,157773.84646883557
29,0.8686187975723149,0,0.0,189910,157773.84646883557
30,0.868715524980239,0,0.0,189910,157773.84646883557
31,0.8437406656528655,0,0.0,189910,157773.84646883557
32,0.8437846168054135,0,0.0,189910,157773.84646883557
33,0.8435144654253808,0,0.0,189910,157773.84646883557
34,0.8434397051891572,0,0.0,189910,157773.84646883557
35,0.8660612344209397,0,0.0,189910,157773.84646883557
36,0.8684199627575774,0,0.0,189910,157773.84646883557
37,0.8686449026541422,0,0.0,189910,157773.84646883557
38,0.8686209995139126,0,0.0,189910,157773.84646883557
39,0.868527959874724,0,0.0,189910,157773.84646883557
40,0.8614362386189652,0,0.0,189910,157773.84646883557
41,0.8612053982259178,0,0.0,189910,157773.84646883557
42,0.8551643592735795,0,0.0,189910,157773.84646883557
43,0.8536446611976422,0,0.0,189910,157773.84646883557
44,0.8534919719791378,0,0.0,189910,157773.84646883557
45,0.8504169533116347,0,0.0,189910,157773.84646883557
46,0.850459260126116,0,0.0,189910,157773.84646883557
47,0.8503908674256317,0,0.0,189910,157773.84646883557
48,0.8517720297256578,0,0.0,189910,157773.84646883557
49,0.8509435462542245,0,0.0,189910,157773.84646883557
50,0.850944192530547,0,0.0,189910,157773.84646883557
51,0.8509603196604069,0,0.0,189910,157773.84646883557
52,0.847983489072885,0,0.0,189910,157773.84646883557
53,0.8470959575330435,0,0.0,189910,157773.84646883557
54,0.847076589287457,0,0.0,189910,157773.84646883557
55,0.8509897427850329,0,0.0,189910,157773.84646883557
56,0.8595127581025114,0,0.0,189910,157773.84646883557
57,0.8594656499511872,0,0.0,189910,157773.84646883557
58,0.8593729521564869,0,0.0,189910,157773.84646883557
59,0.8593875325734277,0,0.0,189910,157773.84646883557
60,0.8594227376008181,0,0.0,189910,157773.84646883557
61,0.853800315949141,0,0.0,189910,157773.84646883557
62,0.8537146426018022,0,0.0,189910,157773.84646883557
63,0.8536993752399032,0,0.0,189910,157773.84646883557
64,0.82257326170979,0,0.0,189910,157773.84646883557
65,0.8936741431220332,0,0.0,189910,157773.84646883557
66,0.8929150656214101,0,0.0,189910,157773.84646883557
67,0.8999270979969315,0,0.0,189910,157773.84646883557
68,0.8999244259415266,0,0.0,189910,157773.84646883557
69,0.8999665272583632,0,0.0,189910,157773.84646883557
70,0.8945440671985357,0,0.0,189910,157773.84646883557
71,0.8793289170704752,0,0.0,189910,157773.84646883557
72,0.8793952809162641,0,0.0,189910,157773.84646883557
73,0.8711838406881779,0,0.0,189910,157773.84646883557
74,0.8711354341720121,0,0.0,189910,157773.84646883557
75,0.8726342524510656,0,0.0,189910,157773.84646883557
76,0.8725974932898992,0,0.0,189910,157773.84646883557
77,0.8729736946671245,0,0.0,189910,157773.84646883557
78,0.8701841940110944,0,0.0,189910,157773.84646883557
79,0.8702102604137454,0,0.0,189910,157773.84646883557
80,0.8560933098106813,0,0.0,189910,157773.84646883557
81,0.8610224164369452,0,0.0,189910,157773.84646883557
82,0.8609129128777269,0,0.0,189910,157773.84646883557
83,0.8640589283814898,0,0.0,189910,157773.84646883557
84,0.8640913980419523,0,0.0,189910,157773.84646883557
85,0.8633450315792224,0,0.0,189910,157773.84646883557
86,0.8604789701368958,0,0.0,189910,157773.84646883557
87,0.8557261111484215,0,0.0,189910,157773.84646883557
88,0.8547557004562407,0,0.0,189910,157773.84646883557
89,0.8547470786178761,0,0.0,189910,157773.84646883557
90,0.8606739904408924,0,0.0,189910,157773.84646883557
