iteration,price,units_sold_cum,revenue_cum
1,0.12455854183500045,0,0.0
2,0.15360512848537167,0,0.0
3,0.157095597185114,480,67.86529798396926
4,0.14832871375226772,480,67.86529798396926
5,0.14376005403277273,480,67.86529798396926
6,0.13763526680459215,500,70.34273278645192
7,0.13476663896743177,500,70.34273278645192
8,0.1316212662806493,850,111.80343166485645
9,0.13176473562220303,850,111.80343166485645
10,0.12191141445601597,850,111.80343166485645
11,0.11893036632404225,850,111.80343166485645
12,0.1208884610962688,1170,146.61930846058186
13,0.12365238626277358,1170,146.61930846058186
14,0.1561424263386048,1170,146.61930846058186
15,0.16797168275086796,1170,146.61930846058186
16,0.1518528409711757,1510,193.08627779776162
17,0.1463699104786995,1510,193.08627779776162
18,0.13720166402565856,1510,193.08627779776162
19,0.13700973989892337,1510,193.08627779776162
20,0.13513981701710687,1820,230.79028674553444
21,0.13409348752985767,1820,230.79028674553444
22,0.12543055345321388,1820,230.79028674553444
23,0.11983820070652745,1820,230.79028674553444
24,0.12284592561695373,2170,269.4867533148749
25,0.12738275788660097,2170,269.4867533148749
26,0.15444023305781196,2170,269.4867533148749
27,0.1581324286010919,2170,269.4867533148749
28,0.15132207622329755,2480,311.7056125811749
29,0.14596182479722375,2480,311.7056125811749
30,0.13905257286747055,2480,311.7056125811749
31,0.13957436171431326,2480,311.7056125811749
32,0.13365389484118972,2830,353.80658945614965
33,0.13355973872457427,2830,353.80658945614965
34,0.12270356810528453,2830,353.80658945614965
35,0.1226985054034022,2830,353.80658945614965
36,0.11962208645566724,3150,388.2577503553818
37,0.12305652987982765,3150,388.2577503553818
38,0.15143650047571391,3150,388.2577503553818
39,0.15893698669036932,3150,388.2577503553818
40,0.14645166612995503,3480,431.75389519597843
41,0.1404183081347034,3480,431.75389519597843
42,0.1381961742880188,3480,431.75389519597843
43,0.13456281968162967,3480,431.75389519597843
44,0.13214140590654383,3810,470.99989275022193
45,0.1313951149641394,3810,470.99989275022193
46,0.12154080795663945,3810,470.99989275022193
47,0.12268124813401296,3810,470.99989275022193
48,0.1235824170883857,4150,508.81611237926796
49,0.1284632133177177,4150,508.81611237926796
50,0.15692629963766683,4150,508.81611237926796
51,0.16524042542196496,4150,508.81611237926796
52,0.14931463996409414,4470,551.8187286889271
53,0.14364330709588466,4470,551.8187286889271
54,0.13746682294829426,4470,551.8187286889271
55,0.13547730073700726,4470,551.8187286889271
56,0.13370918302786247,4810,592.733738695453
57,0.12976837890139747,4810,592.733738695453
58,0.12248850808864806,4810,592.733738695453
59,0.12149720458884626,4810,592.733738695453
60,0.1213620549408712,5130,627.6860105184239
61,0.1301386042835965,5130,627.6860105184239
