iteration,price,units_sold_cum,revenue_cum
1,1.0856796145330143,110,107.48228183876842
2,1.3572810468688201,110,107.48228183876842
3,1.330938713108479,110,107.48228183876842
4,1.3971872923803925,230,258.3785094158508
5,1.4269153181517078,230,258.3785094158508
6,1.3436214856919855,230,258.3785094158508
7,1.309621300866882,230,258.3785094158508
8,1.2860355200631226,440,501.4392227077809
9,1.3175361492352287,440,501.4392227077809
10,1.3077976795988948,440,501.4392227077809
11,1.315643071487518,440,501.4392227077809
12,1.263293718055827,560,637.8749442578103
13,1.203690811782471,560,637.8749442578103
14,1.3168351896672013,600,685.2810110858295
15,1.329345283479292,600,685.2810110858295
16,1.344294596590929,740,854.6621302562866
17,1.3802160190222679,740,854.6621302562866
18,1.3136710208886244,740,854.6621302562866
19,1.2975987974027885,740,854.6621302562866
20,1.2733943226905415,950,1095.3336572447988
21,1.3053341102250458,950,1095.3336572447988
22,1.3105092009065642,950,1095.3336572447988
23,1.3223710888421933,950,1095.3336572447988
24,1.2631799719335308,1080,1243.125713961022
25,1.2195472768683917,1080,1243.125713961022
26,1.3653922908673295,1080,1243.125713961022
27,1.371418052633718,1080,1243.125713961022
28,1.3951300647679992,1290,1506.8052962021738
29,1.4366163534638265,1290,1506.8052962021738
30,1.35371047709048,1290,1506.8052962021738
31,1.314318259092364,1290,1506.8052962021738
32,1.27353211664565,1360,1587.0378195508497
33,1.2883133864026355,1360,1587.0378195508497
34,1.265979161666137,1510,1757.9450063757781
35,1.2752952152686299,1510,1757.9450063757781
36,1.267165866575708,1510,1757.9450063757781
37,1.2376681619728667,1510,1757.9450063757781
38,1.3551454812274415,1730,2026.2638116588114
39,1.3534432037337991,1730,2026.2638116588114
40,1.3939589632207352,1730,2026.2638116588114
41,1.3731316619022138,1730,2026.2638116588114
42,1.2842257097488126,1760,2060.9379058220293
43,1.2977622602622867,1760,2060.9379058220293
44,1.2975600704367076,1960,2294.4987185006366
45,1.2826630257759057,1960,2294.4987185006366
46,1.28835649012457,1960,2294.4987185006366
47,1.345501341776905,1960,2294.4987185006366
48,1.2808258330265099,2090,2444.3553409647384
49,1.2617964258766696,2090,2444.3553409647384
50,1.3842198488423414,2090,2444.3553409647384
51,1.3815673371054453,2090,2444.3553409647384
52,1.4364402385168413,2280,2689.986621751118
53,1.419184350876737,2280,2689.986621751118
54,1.3290066668321818,2280,2689.986621751118
55,1.3163385721787424,2280,2689.986621751118
56,1.2970217294127258,2410,2841.738164092407
57,1.2915704972330058,2410,2841.738164092407
58,1.3070442182925803,2420,2853.5015620570402
59,1.3375649211455038,2420,2853.5015620570402
60,1.3069907530530298,2640,3112.2857311615403
